,well_id,results,chemical,date,units,qualifer,rl,latitude,longitude,well_type,well_depth_ft,top_of_screen_ft,screen_length_ft,source,source_name,other_names
212418,SOSA-01,0.06,ACETAMPHEN,2006-06-05,UG/L,<,0.06,35.08013889,-118.51344444,MUNICIPAL,0.0,0.0,0.0,USGS,SOSA-01,SOSA-01
212419,SOSA-01,0.04,ALBUTEROL,2006-06-05,UG/L,<,0.04,35.08013889,-118.51344444,MUNICIPAL,0.0,0.0,0.0,USGS,SOSA-01,SOSA-01
212430,KWH-08,0.06,ACETAMPHEN,2005-11-16,UG/L,<,0.06,36.28663889,-119.11338889,MUNICIPAL,0.0,0.0,0.0,USGS,KWH-08,KWH-08
212459,SCRC-B01,0.02,24D,2008-05-19,UG/L,<,0.02,35.10530556,-120.61047222,MUNICIPAL,606.85,305.0,290.0,USGS,SCRC-B01,SCRC-B01
212500,SDALLV-12,0.005,ALACL,2004-07-15,UG/L,<,0.005,32.86608333,-116.92058333,MUNICIPAL,230.0,60.0,160.0,USGS,SDALLV-12,SDALLV-12
212514,NSFWG-09,0.005,ALACL,2004-10-04,UG/L,<,0.005,38.46488889,-122.88441667,MUNICIPAL,0.0,0.0,0.0,USGS,NSFWG-09,NSFWG-09
212524,NSFVOL-13,0.06,17DIMETHYLX,2004-10-06,UG/L,<,0.06,38.31894444,-122.19177778,MUNICIPAL,510.0,30.0,480.0,USGS,NSFVOL-13,NSFVOL-13
212590,MER-05,0.005,ALACL,2006-04-03,UG/L,<,0.005,37.28761111,-120.713,MUNICIPAL,268.0,248.0,20.0,USGS,MER-05,MER-05
212633,CLABCB-07,0.06,ACETAMPHEN,2006-08-21,UG/L,<,0.06,33.96205556,-118.06502778,MUNICIPAL,900.0,200.0,700.0,USGS,CLABCB-07,CLABCB-07
212670,USAWR-04,0.06,ACETAMPHEN,2006-12-12,UG/L,<,0.06,33.82797222,-117.51086111,MUNICIPAL,89.0,28.0,61.0,USGS,USAWR-04,USAWR-04
212671,USAWR-04,0.04,ALDICARB,2006-12-12,UG/L,<,0.04,33.82797222,-117.51086111,MUNICIPAL,89.0,28.0,61.0,USGS,USAWR-04,USAWR-04
212721,ANT-28,0.006,ALACL,2008-02-11,UG/L,<,0.006,34.87558333,-118.27066667,MUNICIPAL,0.0,0.0,0.0,USGS,ANT-28,ANT-28
212791,"SOSA-06, SIERRA-G-01",0.005,ALACL,2006-06-07,UG/L,<,0.005,35.25041667,-118.62672222,MUNICIPAL,600.0,300.0,300.0,USGS,"SOSA-06, SIERRA-G-01","SOSA-06, SIERRA-G-01"
212812,COS-02,0.04,ALBUTEROL,2004-12-14,UG/L,<,0.04,38.287,-121.29775,MUNICIPAL,930.0,750.0,160.0,USGS,COS-02,COS-02
212835,MSMB-15,0.04,ALBUTEROL,2005-08-04,UG/L,<,0.04,36.57455556,-121.72541667,MUNICIPAL,460.0,160.0,280.0,USGS,MSMB-15,MSMB-15
212850,MSMB-08,0.06,ACETAMPHEN,2005-08-16,UG/L,<,0.06,36.98388889,-121.76777778,MUNICIPAL,550.0,440.0,80.0,USGS,MSMB-08,MSMB-08
212862,MSMB-23,0.06,17DIMETHYLX,2005-08-30,UG/L,<,0.06,36.85258333,-121.68938889,MUNICIPAL,280.0,240.0,40.0,USGS,MSMB-23,MSMB-23
212891,SF-07,0.04,ALDICARB,2007-05-21,UG/L,<,0.04,37.45616667,-122.19336111,MUNICIPAL,220.0,0.0,0.0,USGS,SF-07,SF-07
212936,MER-18,0.06,17DIMETHYLX,2006-04-19,UG/L,<,0.06,37.1845,-120.27202778,MUNICIPAL,200.0,0.0,0.0,USGS,MER-18,MER-18
212988,KERN-13,0.005,ALACL,2006-01-24,UG/L,<,0.005,35.59102778,-119.41088889,MUNICIPAL,790.0,380.0,400.0,USGS,KERN-13,KERN-13
213030,CLABCB-16,0.06,17DIMETHYLX,2006-08-30,UG/L,<,0.06,33.89781111,-118.07760833,MUNICIPAL,736.0,684.0,34.0,USGS,CLABCB-16,CLABCB-16
213031,CLABCB-16,0.005,ALACL,2006-08-30,UG/L,<,0.005,33.89781111,-118.07760833,MUNICIPAL,736.0,684.0,34.0,USGS,CLABCB-16,CLABCB-16
213078,SDWARN-03,0.063,ACETAMPHEN,2004-06-17,UG/L,<,0.06,33.27575,-116.69644444,MUNICIPAL,550.0,118.0,432.0,USGS,SDWARN-03,SDWARN-03
213088,SDWARN-03,0.06,17DIMETHYLX,2005-04-27,UG/L,<,0.06,33.27575,-116.69644444,MUNICIPAL,550.0,118.0,432.0,USGS,SDWARN-03,SDWARN-03
213089,SDWARN-03,0.06,ACETAMPHEN,2005-04-27,UG/L,<,0.06,33.27575,-116.69644444,MUNICIPAL,550.0,118.0,432.0,USGS,SDWARN-03,SDWARN-03
213110,ULASG-13,0.06,17DIMETHYLX,2005-06-16,UG/L,<,0.06,34.07311111,-118.09519444,MUNICIPAL,970.0,320.0,650.0,USGS,ULASG-13,ULASG-13
213111,ULASG-13,0.06,ACETAMPHEN,2005-06-16,UG/L,<,0.06,34.07311111,-118.09519444,MUNICIPAL,970.0,320.0,650.0,USGS,ULASG-13,ULASG-13
213112,ULASG-13,0.04,ALBUTEROL,2005-06-16,UG/L,<,0.04,34.07311111,-118.09519444,MUNICIPAL,970.0,320.0,650.0,USGS,ULASG-13,ULASG-13
213169,WSAC-13,0.005,ALACL,2006-07-24,UG/L,<,0.005,39.25405556,-122.19002778,MUNICIPAL,0.0,0.0,0.0,USGS,WSAC-13,WSAC-13
213309,NSFVOL-10,0.04,ALBUTEROL,2004-10-05,UG/L,<,0.04,38.34411111,-122.59466667,MUNICIPAL,136.0,76.0,60.0,USGS,NSFVOL-10,NSFVOL-10
213343,SSV-QPC-03,0.06,17DIMETHYLX,2005-03-16,UG/L,<,0.06,38.86966667,-121.33025,MUNICIPAL,0.0,0.0,0.0,USGS,SSV-QPC-03,SSV-QPC-03
213344,SSV-QPC-03,0.04,ALBUTEROL,2005-03-16,UG/L,<,0.04,38.86966667,-121.33025,MUNICIPAL,0.0,0.0,0.0,USGS,SSV-QPC-03,SSV-QPC-03
213417,USAWC-19,0.04,ALBUTEROL,2007-02-13,UG/L,<,0.04,34.18575,-117.58141667,MUNICIPAL,0.0,0.0,0.0,USGS,USAWC-19,USAWC-19
213474,CLABCB-10,0.06,17DIMETHYLX,2006-08-22,UG/L,<,0.06,33.97156444,-118.20229383,MUNICIPAL,1500.0,500.0,1000.0,USGS,CLABCB-10,CLABCB-10
213475,CLABCB-10,0.04,ALBUTEROL,2006-08-22,UG/L,<,0.04,33.97156444,-118.20229383,MUNICIPAL,1500.0,500.0,1000.0,USGS,CLABCB-10,CLABCB-10
213534,KING-31,0.005,ALACL,2005-11-14,UG/L,<,0.005,36.56044444,-120.12552778,MUNICIPAL,520.0,280.0,240.0,USGS,KING-31,KING-31
213606,SSV-QPC-10,0.06,17DIMETHYLX,2005-04-19,UG/L,<,0.06,38.54305556,-121.27861111,MUNICIPAL,499.0,246.0,253.0,USGS,SSV-QPC-10,SSV-QPC-10
213618,KERN-27,0.04,ALBUTEROL,2006-02-27,UG/L,<,0.04,35.51388889,-119.32355556,MUNICIPAL,600.0,0.0,0.0,USGS,KERN-27,KERN-27
213626,TRLK-13,0.005,ALACL,2006-04-03,UG/L,<,0.005,37.49271148,-120.99715347,MUNICIPAL,104.0,84.0,20.0,USGS,TRLK-13,TRLK-13
213638,CLABOC-08,0.005,ALACL,2006-08-24,UG/L,<,0.005,33.76919444,-117.88447222,MUNICIPAL,1310.0,570.0,720.0,USGS,CLABOC-08,CLABOC-08
213679,CLABWB-09,0.04,ALBUTEROL,2006-11-14,UG/L,<,0.04,33.87172222,-118.33577778,MUNICIPAL,810.0,200.0,586.0,USGS,CLABWB-09,CLABWB-09
213693,TRLK-06,0.005,ALACL,2006-03-22,UG/L,<,0.005,37.59386111,-120.99097222,MUNICIPAL,221.0,105.0,108.0,USGS,TRLK-06,TRLK-06
213711,KING-39,0.06,ACETAMPHEN,2005-12-15,UG/L,<,0.06,36.738,-120.21872222,MUNICIPAL,0.0,0.0,0.0,USGS,KING-39,KING-39
213767,NSFVOL-09,0.04,ALBUTEROL,2004-09-29,UG/L,<,0.04,38.51475,-122.68566667,MUNICIPAL,0.0,0.0,0.0,USGS,NSFVOL-09,NSFVOL-09
213808,NSFVOL-02,0.06,17DIMETHYLX,2004-09-15,UG/L,<,0.06,38.54936111,-122.66813889,MUNICIPAL,380.0,0.0,0.0,USGS,NSFVOL-02,NSFVOL-02
213860,MSMBFP-01,0.005,ALACL,2005-08-17,UG/L,<,0.005,36.677,-121.77880556,MUNICIPAL,1660.0,970.0,680.0,USGS,MSMBFP-01,MSMBFP-01
213909,SDWARN-09,0.06,ACETAMPHEN,2004-07-13,UG/L,<,0.06,33.32402778,-116.68230556,MUNICIPAL,642.0,0.0,0.0,USGS,SDWARN-09,SDWARN-09
213910,SDWARN-09,0.04,ALBUTEROL,2004-07-13,UG/L,<,0.04,33.32402778,-116.68230556,MUNICIPAL,642.0,0.0,0.0,USGS,SDWARN-09,SDWARN-09
214056,SDWARN-08,0.06,ACETAMPHEN,2004-07-13,UG/L,<,0.06,33.27258333,-116.64202778,MUNICIPAL,700.0,280.0,320.0,USGS,SDWARN-08,SDWARN-08
214063,SUI-05,0.06,ACETAMPHEN,2005-05-17,UG/L,<,0.06,38.29063889,-121.96066667,MUNICIPAL,0.0,0.0,0.0,USGS,SUI-05,SUI-05
214070,KERN-23,0.005,ALACL,2006-02-16,UG/L,<,0.005,35.40533333,-119.61552778,MUNICIPAL,609.0,400.0,209.0,USGS,KERN-23,KERN-23
214084,SOSA-26,0.04,ALBUTEROL,2006-06-20,UG/L,<,0.04,35.18319444,-118.64663889,MUNICIPAL,490.0,140.0,350.0,USGS,SOSA-26,SOSA-26
214107,SOSA-04,0.06,ACETAMPHEN,2006-06-06,UG/L,<,0.06,35.34641667,-118.37872222,MUNICIPAL,540.0,300.0,240.0,USGS,SOSA-04,SOSA-04
